06/21/26 19:34:35:208 | [INFO] | 823 | agcinvokerutility |  | AdobeGCInvokerUtilityHelper |  |  | 7917 | inside getLatestGCApplication
06/21/26 19:34:35:289 | [INFO] | 823 | agcinvokerutility |  | AdobeGCUpdater |  |  | 7917 | ***********AdobeGC Updater library invoked = 9.1.0.50 ************
06/21/26 19:34:35:289 | [INFO] | 823 | agcinvokerutility |  | AdobeGCUpdaterCFU |  |  | 7917 | Perform WF started
06/21/26 19:34:35:289 | [INFO] | 823 | agcinvokerutility |  | AdobeGCUpdaterCFU |  |  | 7917 | Perform WF completed
06/21/26 19:34:35:289 | [DEBUG] | 823 | agcinvokerutility |  | AdobeGCInvokerUtilityHelper |  |  | 7917 | inside waitForCFUCallBack.
06/21/26 19:34:35:314 | [DEBUG] | 823 | agcinvokerutility |  | AdobeGCUpdaterCFU |  |  | 9070 | Trying to acquire the semaphore
06/21/26 19:34:35:314 | [DEBUG] | 823 | agcinvokerutility |  | AdobeGCUpdaterCFU |  |  | 9070 | Semaphore acquired
06/21/26 19:34:35:314 | [INFO] | 823 | agcinvokerutility |  | AdobeGCUpdaterCFU |  |  | 9070 | Threaded CFU Started
06/21/26 19:34:35:314 | [INFO] | 823 | agcinvokerutility |  | AdobeGCUpdater |  |  | 9070 | Get client install path Started
06/21/26 19:34:35:324 | [INFO] | 823 | agcinvokerutility |  | AdobeGCUpdater |  |  | 9070 | Get client install path Ended
06/21/26 19:34:35:326 | [INFO] | 823 | agcinvokerutility |  | AdobeGCUpdaterCFU |  |  | 9070 | Client sanitization started
06/21/26 19:34:35:326 | [DEBUG] | 823 | agcinvokerutility |  | AdobeGCCodeSignWrapper |  |  | 9070 | Invoked VerifyCodeSign for app: /Library/Application Support/Adobe/AdobeGCClient/AdobeGCClient.app
06/21/26 19:34:39:948 | [DEBUG] | 823 | agcinvokerutility |  | AdobeGCCodeSignWrapper |  |  | 9070 | Status returned is 0 
06/21/26 19:34:39:948 | [DEBUG] | 823 | agcinvokerutility |  | AdobeGCCodeSignWrapper |  |  | 9070 | Code signature is OK. 
06/21/26 19:34:39:948 | [DEBUG] | 823 | agcinvokerutility |  | AdobeGCCodeSignWrapper |  |  | 9070 | Completed VerifyCodeSign. 
06/21/26 19:34:39:950 | [INFO] | 823 | agcinvokerutility |  | AdobeGCVersionWrapper |  |  | 9070 | Getting version of package at /Library/Application Support/Adobe/AdobeGCClient/AdobeGCClient.app
06/21/26 19:34:39:950 | [INFO] | 823 | agcinvokerutility |  | AdobeGCUpdaterCFU |  |  | 9070 | Client sanitization ended
06/21/26 19:34:39:950 | [INFO] | 823 | agcinvokerutility |  | AdobeGCClientHealthUtil |  |  | 9070 | Checking CEF dependencies
06/21/26 19:34:39:951 | [INFO] | 823 | agcinvokerutility |  | AdobeGCUpdaterCFU |  |  | 9070 | Threaded CFU Ended
06/21/26 19:34:39:951 | [INFO] | 823 | agcinvokerutility |  | AdobeGCUpdaterCFU |  |  | 9070 | Semaphore signalled
06/21/26 19:34:40:529 | [INFO] | 823 | agcinvokerutility |  | AdobeGCInvokerUtilityHelper |  |  | 7917 | AdobeGC_CFUCallbackFn is invoked
06/21/26 19:34:40:529 | [DEBUG] | 823 | agcinvokerutility |  | AdobeGCInvokerUtilityHelper |  |  | 7917 | inside invokeGCApplication.
06/21/26 19:34:40:529 | [INFO] | 823 | agcinvokerutility |  | AdobeGCUpdater |  |  | 7917 | ***********AdobeGC Updater library invoked = 9.1.0.50 ************
06/21/26 19:34:40:529 | [DEBUG] | 823 | agcinvokerutility |  | AdobeGCUpdaterIC |  |  | 7917 | Trying to acquire the semaphore
06/21/26 19:34:40:529 | [DEBUG] | 823 | agcinvokerutility |  | AdobeGCUpdaterIC |  |  | 7917 | Semaphore acquired
06/21/26 19:34:40:529 | [INFO] | 823 | agcinvokerutility |  | AdobeGCUpdaterIC |  |  | 7917 | Perform WF started
06/21/26 19:34:40:593 | [INFO] | 823 | agcinvokerutility |  | AdobeGCUpdaterIC |  |  | 7917 | isOOCTargeted flag read
06/21/26 19:34:40:616 | [ERROR] | 823 | agcinvokerutility |  | AdobeGCUpdaterIC |  |  | 7917 | Time flag read
06/21/26 19:34:40:616 | [INFO] | 823 | agcinvokerutility |  | AdobeGCUpdaterIC |  |  | 7917 | GCInvokerNextClientLaunchTimestamp from cache 1782020947
06/21/26 19:34:40:616 | [INFO] | 823 | agcinvokerutility |  | AdobeGCUpdaterIC |  |  | 7917 | GCInvokerNextClientLaunchTimestamp cached 1782020947 , curr 1782088480 res = 1
06/21/26 19:34:40:616 | [INFO] | 823 | agcinvokerutility |  | AdobeGCUpdaterXMLWrapper |  |  | 7917 | Get XML path Started
06/21/26 19:34:40:616 | [INFO] | 823 | agcinvokerutility |  | AdobeGCUpdaterXMLWrapper |  |  | 7917 | Create XML Started
06/21/26 19:34:40:616 | [INFO] | 823 | agcinvokerutility |  | AdobeGCUpdaterXMLWrapper |  |  | 7917 | Adding generic details Started
06/21/26 19:34:40:616 | [INFO] | 823 | agcinvokerutility |  | AdobeGCUpdaterXMLWrapper |  |  | 7917 | Adding generic details Ended
06/21/26 19:34:40:616 | [INFO] | 823 | agcinvokerutility |  | AdobeGCUpdaterXMLWrapper |  |  | 7917 | Create XML Ended
06/21/26 19:34:40:616 | [INFO] | 823 | agcinvokerutility |  | AdobeGCUpdaterXMLWrapper |  |  | 7917 | Storing XML Started
06/21/26 19:34:40:617 | [INFO] | 823 | agcinvokerutility |  | AdobeGCUpdaterXMLWrapper |  |  | 7917 | Storing XML Ended
06/21/26 19:34:40:617 | [INFO] | 823 | agcinvokerutility |  | AdobeGCUpdaterXMLWrapper |  |  | 7917 | Get XML path Ended
06/21/26 19:34:40:617 | [INFO] | 823 | agcinvokerutility |  | AdobeGCUpdaterIC |  |  | 7917 | Invoking GC client started
06/21/26 19:34:40:617 | [INFO] | 823 | agcinvokerutility |  | AdobeGCUpdaterIC |  |  | 7917 | override path for acrobat is 0
06/21/26 19:34:40:617 | [INFO] | 823 | agcinvokerutility |  | AdobeGCUpdater |  |  | 7917 | Get client install path Started
06/21/26 19:34:40:617 | [INFO] | 823 | agcinvokerutility |  | AdobeGCUpdater |  |  | 7917 | Get client install path Ended
06/21/26 19:34:40:617 | [INFO] | 823 | agcinvokerutility |  | AdobeGCUpdaterIC |  |  | 7917 | path found is  /Library/Application Support/Adobe/AdobeGCClient/AdobeGCClient.app
06/21/26 19:34:40:617 | [INFO] | 823 | agcinvokerutility |  | AdobeGCUpdaterIC |  |  | 7917 | Invoking GC Client for caller id 11
06/21/26 19:34:40:617 | [INFO] | 823 | agcinvokerutility |  | AdobeGCUpdaterIC |  |  | 7917 | GC Client path = /Library/Application Support/Adobe/AdobeGCClient/AdobeGCClient.app/Contents/MacOS/AdobeGCClient
06/21/26 19:34:40:617 | [INFO] | 823 | agcinvokerutility |  | AdobeGCUpdaterIC |  |  | 7917 | Argument 1 is  = --xmlFilePath=/tmp/adobegc_chYcjz
06/21/26 19:34:40:617 | [INFO] | 823 | agcinvokerutility |  | AdobeGCUpdaterIC |  |  | 7917 | Argument 2 is = --workflowInitiator=GCInvokerUtility
06/21/26 19:34:40:638 | [INFO] | 823 | agcinvokerutility |  | AdobeGCUpdaterIC |  |  | 7917 | Invoking GC client completed
06/21/26 19:34:40:638 | [INFO] | 823 | agcinvokerutility |  | AdobeGCUpdaterIC |  |  | 7917 | SaveGCInvokerNextLaunchTimestamp 
06/21/26 19:34:40:639 | [INFO] | 823 | agcinvokerutility |  | AdobeGCUpdaterIC |  |  | 7917 | SaveGCInvokerNextLaunchTimestamp Wait Period 86400
06/21/26 19:34:40:639 | [INFO] | 823 | agcinvokerutility |  | AdobeGCUpdaterIC |  |  | 7917 | SaveGCInvokerNextLaunchTimestamp Wait Period Xtnd 1782174880
